Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:41.274637,437.7,-86
2025-11-23T16:15:41.278652,437.8,-88
2025-11-23T16:15:41.283662,437.9,-88
2025-11-23T16:15:41.288655,438.0,-90
2025-11-23T16:15:41.293617,438.1,-90
2025-11-23T16:15:41.298591,438.2,-90
2025-11-23T16:15:41.303636,438.3,-90
2025-11-23T16:15:41.308678,438.4,-90
2025-11-23T16:15:41.313682,438.5,-88
2025-11-23T16:15:41.318596,438.6,-91
2025-11-23T16:15:41.323641,438.7,-87
2025-11-23T16:15:41.328590,438.8,-89
2025-11-23T16:15:41.333602,438.9,-89
2025-11-23T16:15:41.338639,439.0,-89
2025-11-23T16:15:41.343601,439.1,-88
2025-11-23T16:15:41.348625,439.2,-89
2025-11-23T16:15:41.353650,439.3,-90
2025-11-23T16:15:41.358622,439.4,-91
2025-11-23T16:15:41.363612,439.5,-88
2025-11-23T16:15:41.368588,439.6,-87
2025-11-23T16:15:41.373649,439.7,-88
2025-11-23T16:15:41.378594,439.8,-86
2025-11-23T16:15:41.383586,439.9,-86
2025-11-23T16:15:41.388630,440.0,-87
2025-11-23T16:15:41.893604,430.0,-86
2025-11-23T16:15:41.898614,430.1,-87
2025-11-23T16:15:41.903614,430.2,-87
2025-11-23T16:15:41.908626,430.3,-88
2025-11-23T16:15:41.913581,430.4,-84
2025-11-23T16:15:41.919445,430.5,-85
2025-11-23T16:15:41.924608,430.6,-88
2025-11-23T16:15:41.928895,430.7,-89
2025-11-23T16:15:41.934011,430.8,-90
2025-11-23T16:15:41.938849,430.9,-88
2025-11-23T16:15:41.943749,431.0,-89
2025-11-23T16:15:41.948656,431.1,-90
2025-11-23T16:15:41.953637,431.2,-90
2025-11-23T16:15:41.958616,431.3,-90
2025-11-23T16:15:41.963633,431.4,-90
2025-11-23T16:15:41.968626,431.5,-88
2025-11-23T16:15:41.973620,431.6,-87
2025-11-23T16:15:41.978592,431.7,-87
2025-11-23T16:15:41.983602,431.8,-85
2025-11-23T16:15:41.988651,431.9,-87
2025-11-23T16:15:41.993618,432.0,-88
2025-11-23T16:15:41.998580,432.1,-89
2025-11-23T16:15:42.003607,432.2,-87
2025-11-23T16:15:42.008622,432.3,-87
2025-11-23T16:15:42.013586,432.4,-89
2025-11-23T16:15:42.018602,432.5,-85
2025-11-23T16:15:42.023691,432.6,-84
2025-11-23T16:15:42.028592,432.7,-86
2025-11-23T16:15:42.033603,432.8,-87
2025-11-23T16:15:42.038633,432.9,-82
2025-11-23T16:15:42.043605,433.0,-84
2025-11-23T16:15:42.048581,433.1,-84
2025-11-23T16:15:42.053642,433.2,-89
2025-11-23T16:15:42.058625,433.3,-85
2025-11-23T16:15:42.063598,433.4,-85
